,lat,lon,final
1,45.04690552,-93.4265976,Minnesota
2,30.3795929,-97.67569733,Texas
3,33.08120728,-96.81330109,Texas
4,32.58320618,-94.71479797,Texas
5,35.22709656,-80.8431015,North Carolina
6,29.82620239,-95.42639923,Texas
7,32.81269836,-117.0332947,California
8,43.02079773,-89.36000061,Wisconsin
9,32.28829956,-88.58799744,Mississippi
10,30.20759583,-97.85870361,Texas
11,32.69090271,-97.26380157,Texas
12,32.93170166,-96.61620331,Texas
13,32.31799316,-95.292099,Texas
14,41.28790283,-73.91699982,New York
15,39.90559387,-75.48739624,Pennsylvania
16,44.42500305,-88.11129761,Wisconsin
17,41.78610229,-71.40010071,Rhode Island
18,41.51289368,-87.96050262,Illinois
19,42.69949341,-73.75800323,New York
20,35.97259521,-81.55130005,North Carolina
21,33.9329071,-118.0088959,California
22,33.38580322,-111.8755035,Arizona
23,42.20680237,-70.9552002,Massachusetts
24,40.0019989,-76.68360138,Pennsylvania
25,41.78039551,-87.60269928,Illinois
26,29.7749939,-95.61299896,Texas
27,41.08369446,-73.83969879,New York
28,42.74850464,-77.49079895,New York
29,36.02749634,-80.20729828,North Carolina
30,33.17689514,-96.69850159,Texas
31,35.21800232,-80.7858963,North Carolina
32,31.4382019,-83.43910217,Georgia
33,39.63839722,-104.9057999,Colorado
34,26.2454071,-97.68360138,Texas
35,40.39959717,-104.8002014,Colorado
36,38.88960266,-92.22360229,Missouri
37,32.78770447,-96.80000305,Texas
38,39.71510315,-75.73059845,Delaware
39,35.13639832,-89.77259827,Tennessee
40,32.90130615,-96.79360199,Texas
41,26.665802,-81.7480011,Florida
42,35.789505,-78.8742981,North Carolina
43,33.85600281,-84.21289825,Georgia
44,43.04829407,-76.29570007,New York
45,40.792099,-73.94390106,New York
46,35.7124939,-88.70210266,Tennessee
47,35.92790222,-84.08519745,Tennessee
48,26.69880676,-81.90799713,Florida
49,35.92790222,-84.08519745,Tennessee
50,38.61430359,-90.44439697,Missouri
51,28.53829956,-81.3792038,Florida
52,44.73840332,-74.24880219,New York
53,40.66499329,-73.75019836,New York
54,37.75100708,-97.8219986,Kansas
55,41.84829712,-87.65170288,Illinois
56,38.26899719,-92.72669983,Missouri
57,37.54969788,-121.9620972,California
58,35.73820496,-79.76899719,North Carolina
59,37.75100708,-97.8219986,Kansas
60,40.71479797,-73.79389954,New York
61,42.53759766,-87.85759735,Wisconsin
62,28.67660522,-81.19909668,Florida
63,28.04069519,-81.90429688,Florida
64,32.72349548,-97.46250153,Texas
65,39.0480957,-77.47280121,Virginia
66,34.71009827,-92.354599,Arkansas
67,34.71350098,-86.74210358,Alabama
68,33.44839478,-112.0739975,Arizona
69,46.77090454,-92.13259888,Minnesota
70,26.19760132,-97.7405014,Texas
71,47.26260376,-122.4412994,Washington
72,28.49130249,-81.40969849,Florida
73,33.86830139,-98.47589874,Texas
74,25.89050293,-80.33529663,Florida
75,41.29170227,-96.1710968,Nebraska
76,42.88630676,-87.88829803,Wisconsin
77,45.04690552,-93.4265976,Minnesota
78,32.80369568,-83.61810303,Georgia
79,29.522995,-98.52700043,Texas
80,32.70379639,-109.6557999,Arizona
81,42.10319519,-88.06990051,Illinois
82,35.53840637,-106.001503,New Mexico
83,41.53799438,-90.55310059,Iowa
84,45.04690552,-93.4265976,Minnesota
85,29.71760559,-95.41880035,Texas
86,36.34790039,-86.60050201,Tennessee
87,29.42410278,-98.49359894,Texas
88,36.18099976,-115.1700974,Nevada
89,40.62240601,-74.31240082,New Jersey
90,35.90429688,-83.84069824,Tennessee
91,29.98379517,-90.16829681,Louisiana
92,42.68280029,-89.01869965,Wisconsin
93,40.6302948,-75.39409637,Pennsylvania
94,29.98379517,-90.16829681,Louisiana
95,37.75100708,-97.8219986,Kansas
96,40.0019989,-76.68360138,Pennsylvania
97,41.83790588,-71.39320374,Rhode Island
98,41.88020325,-87.75659943,Illinois
99,40.80679321,-74.18540192,New Jersey
100,33.74899292,-84.38800049,Georgia
101,40.15449524,-75.38089752,Pennsylvania
102,42.32409668,-83.71130371,Michigan
103,32.77870178,-96.82170105,Texas
104,34.60650635,-87.00779724,Alabama
105,41.88079834,-87.72319794,Illinois
106,43.06869507,-87.97669983,Wisconsin
107,30.23330688,-93.20149994,Louisiana
108,39.67889404,-86.12760162,Indiana
109,34.20230103,-118.4468002,California
110,39.75250244,-104.9994965,Colorado
111,35.88960266,-86.31659698,Tennessee
112,47.68539429,-122.2872009,Washington
113,40.73170471,-73.9885025,New York
114,37.66830444,-97.27729797,Kansas
115,40.71040344,-74.21109772,New Jersey
116,41.92230225,-87.75550079,Illinois
117,46.59820557,-120.5307999,Washington
118,32.00559998,-102.1886978,Texas
119,33.74899292,-84.38800049,Georgia
120,30.290802,-81.63300323,Florida
121,40.66499329,-73.75019836,New York
122,40.73170471,-73.9885025,New York
123,34.49679565,-83.5848999,Georgia
124,35.64889526,-86.9957962,Tennessee
125,47.63549805,-122.3235016,Washington
126,40.75700378,-73.58139801,New York
127,29.51570129,-98.36260223,Texas
128,25.91220093,-80.39649963,Florida
129,43.02079773,-89.36000061,Wisconsin
130,35.64889526,-86.9957962,Tennessee
131,30.45640564,-97.69380188,Texas
132,45.94200134,-122.6723022,Washington
133,32.03030396,-81.16439819,Georgia
134,41.92230225,-87.75550079,Illinois
135,39.95109558,-75.16760254,Pennsylvania
136,35.20939636,-89.79319763,Tennessee
137,33.84680176,-117.9572983,California
138,40.92329407,-73.99839783,New Jersey
139,40.2368927,-85.46790314,Indiana
140,32.96180725,-96.82920074,Texas
141,41.26409912,-95.96440125,Nebraska
142,30,70,Punjab
143,39.95230103,-75.1638031,Pennsylvania
144,42.28430176,-89.01249695,Illinois
145,33.64509583,-117.6786041,California
146,42.56820679,-83.90619659,Michigan
147,31.45019531,-110.8311005,Arizona
148,40.69659424,-73.76039886,New York
149,40.01530457,-105.1075974,Colorado
150,39.26820374,-84.60030365,Ohio
151,38.27059937,-85.623703,Kentucky
152,42.83560181,-78.74839783,New York
153,41.90249634,-87.74009705,Illinois
154,46.32820129,-119.3222046,Washington
155,41.23500061,-81.34339905,Ohio
156,36.07139587,-79.76789856,North Carolina
157,40.7552948,-73.99240112,New York
158,40.9815979,-74.11380005,New Jersey
159,40.69439697,-73.99060059,New York
160,36.05619812,-87.65419769,Tennessee
161,29.68769836,-95.11569977,Texas
162,26.24360657,-80.26560211,Florida
163,45.04690552,-93.4265976,Minnesota
164,29.522995,-98.52700043,Texas
165,36.19790649,-115.2659988,Nevada
166,39.7684021,-86.15799713,Indiana
167,42.4178009,-83.10449982,Michigan
168,39.32879639,-76.59670258,Maryland
169,40.82769775,-96.60590363,Nebraska
170,28.92349243,-81.91850281,Florida
171,41.51379395,-87.59970093,Illinois
172,47.68539429,-122.2872009,Washington
173,41.81950378,-71.41069794,Rhode Island
174,41.23590088,-80.84069824,Ohio
175,35.5151062,-97.57409668,Oklahoma
176,38.45120239,-90.32779694,Missouri
177,34.31739807,-77.98870087,North Carolina
178,40.72279358,-73.51699829,New York
179,38.65539551,-90.4539032,Missouri
180,29.6282959,-95.56240082,Texas
181,44.48890686,-88.07039642,Wisconsin
182,38.4230957,-90.40059662,Missouri
183,26.28739929,-98.1167984,Texas
184,42.50959778,-82.93609619,Michigan
185,42.68280029,-89.01869965,Wisconsin
186,28.24229431,-81.44560242,Florida
187,40.65299988,-73.71450043,New York
188,32.95129395,-96.7154007,Texas
189,32.77870178,-96.82170105,Texas
190,28.6078949,-81.30549622,Florida
191,32.95129395,-96.7154007,Texas
192,39.35549927,-76.63549805,Maryland
193,37.90109253,-121.3995056,California
194,41.57780457,-90.5318985,Iowa
195,32.72540283,-97.32080078,Texas
196,33.43559265,-112.3496017,Arizona
197,32.33590698,-90.15809631,Mississippi
198,32.3289032,-80.69940186,South Carolina
199,27.97309875,-82.4937973,Florida
200,42.30839539,-71.27870178,Massachusetts
201,32.87309265,-96.74590302,Texas
202,39.80929565,-86.10099792,Indiana
203,43.02079773,-89.36000061,Wisconsin
204,39.95230103,-75.1638031,Pennsylvania
